28,1,30,,
28,22,0,,
30,5,12,,
30,1,10,,
30,7,0,,
30,22,8,,
30,25,30,,
30,26,31,,
30,36,20,,
30,35,23,,
30,38,40,,
30,14,21,,
31,35,38,,
31,8,36,,
31,10,22,,
31,21,12,,
31,25,1,,
31,26,14,,
31,20,7,,
31,23,30,,
31,31,0,,
31,40,5,,
32,5,25,,
32,0,26,,
32,1,40,,
32,7,23,,
32,12,8,,
32,30,35,,
32,36,31,,
32,22,21,,
32,38,10,,
32,14,20,,
33,25,38,,
33,8,30,,
33,20,12,,
33,23,5,,
33,26,7,,
33,31,22,,
33,35,14,,
33,10,36,,
33,21,1,,
33,40,0,,
34,5,35,,
34,0,20,,
34,12,10,,
34,14,31,,
34,22,25,,
34,36,26,,
34,38,8,,
34,1,23,,
34,30,40,,
34,7,21,,
35,5,20,,
35,7,22,,
35,21,8,,
35,23,31,,
35,26,38,,
35,36,25,,
35,40,14,,
35,30,10,,
35,35,0,,
35,1,12,,
36,0,21,,
36,8,40,,
36,10,26,,
36,12,23,,
36,14,1,,
36,20,30,,
36,22,5,,
36,25,35,,
36,31,7,,
36,38,36,,
37,5,31,,
37,1,0,,
37,7,25,,
37,21,10,,
37,23,38,,
37,26,8,,
37,30,14,,
37,35,20,,
37,36,22,,
37,40,12,,
38,0,36,,
38,8,7,,
38,10,40,,
38,12,35,,
38,14,5,,
38,20,23,,
38,22,26,,
38,25,21,,
38,31,30,,-
38,1,38,,
