1,11,8,2,1,,371,3,10,1,4
2,2,20,2,0,,372,4,0,1,3
3,21,6,0,2,,373,6,2,5,3
4,22,5,0,3,,374,21,12,0,4
5,12,16,1,2,,375,8,5,0,0
6,17,3,2,0,,376,9,19,2,0
7,19,7,2,2,,377,11,20,0,2
8,0,10,0,2,,378,15,22,1,1
9,9,18,4,0,,379,16,7,2,2
10,15,4,0,0,,380,17,18,1,4
11,20,12,0,0,,360,11,5,1,1
12,5,0,3,2,,361,7,4,2,0
13,7,15,2,1,,362,2,16,1,0
14,8,19,2,0,,363,20,6,2,3
15,16,21,3,1,,364,12,9,2,3
16,18,2,1,2,,365,18,15,3,0
17,3,11,3,2,,366,19,21,1,0
18,4,17,1,3,,367,0,3,1,1
19,10,22,6,1,,368,5,17,3,0
20,6,9,0,2,,369,22,11,1,1
21,0,18,3,1,,341,18,8,2,2
22,2,7,2,2,,342,19,3,0,0
23,22,20,0,0,,343,0,6,2,3
24,9,3,1,0,,344,20,9,0,2
25,15,8,1,2,,345,7,11,4,0
26,19,10,1,1,,346,5,4,2,2
27,21,4,4,2,,347,16,3,1,0
28,12,5,1,2,,348,17,15,1,1
29,17,6,2,1,,349,11,10,0,2
30,11,16,0,3,,350,19,0,3,1
31,3,21,2,2,,351,9,22,5,0
32,5,2,2,0,,352,3,12,1,1
33,6,15,0,2,,353,6,7,0,0
34,7,22,1,1,,354,21,20,1,0
35,8,9,1,2,,355,15,2,3,3
36,10,12,2,1,,356,16,18,0,1
37,18,19,0,1,,357,17,19,1,2
38,4,11,0,2,,358,4,10,0,1
39,20,0,2,3,,359,8,0,3,0
40,17,16,2,1,,360,11,5,1,1
41,2,8,4,2,,,,,,
42,5,20,4,1,,,,,,
43,22,6,0,1,,,,,,
44,10,21,3,0,,,,,,
45,12,0,1,2,,,,,,
46,16,9,1,2,,,,,,
47,17,11,1,2,,,,,,
48,7,18,1,3,,,,,,
49,19,4,1,0,,,,,,
50,15,3,2,2,,,,,,
51,3,16,1,2,,,,,,
52,4,2,4,0,,,,,,
53,20,10,0,5,,,,,,
54,6,12,0,0,,,,,,
55,21,17,1,1,,,,,,
56,8,22,3,1,,,,,,
57,9,15,3,0,,,,,,
