0,Arsenal
1,Aston Villa
2,Birmingham
3,Blackburn
4,Bolton
5,Bournemouth
6,Bradford
7,Brighton
8,Burnley
9,Charlton
10,Chelsea
11,Coventry
12,Crystal Palace
13,Derby
14,Everton
15,Fulham
16,Huddersfield
17,Hull
18,Ipswich
19,Leeds
20,Leicester
21,Liverpool
22,Man City
23,Man United
24,Middlesbrough
25,Newcastle
26,Norwich
27,Portsmouth
28,QPR
29,Reading
30,Sheffield United
31,Southampton
32,Stoke
33,Sunderland
34,Swansea
35,Tottenham
36,Watford
37,West Brom
38,West Ham
39,Wigan
40,Wolves
41,Blackpool
42,Cardiff
