1,9,13,4,1
1,18,10,0,5
1,2,14,1,1
1,4,15,3,0
1,6,7,0,0
1,16,1,3,1
1,8,19,0,0
1,12,0,0,1
1,11,5,4,0
1,17,3,0,3
2,0,4,2,1
2,1,2,1,2
2,3,18,1,1
2,7,17,1,0
2,13,12,3,1
2,15,9,1,2
2,10,16,2,2
2,14,6,1,0
2,5,8,1,1
2,19,11,1,1
3,1,7,2,0
3,13,5,2,3
3,3,15,0,2
3,11,6,1,2
3,14,8,1,2
3,17,18,1,3
3,9,0,3,1
3,2,10,1,3
3,16,12,0,1
3,19,4,1,1
4,15,11,1,1
4,5,14,2,2
4,6,1,1,0
4,8,2,3,1
4,10,3,4,0
4,12,17,1,1
4,18,13,2,0
4,4,9,0,3
4,7,19,3,2
4,0,16,2,2
5,9,12,3,1
5,3,4,1,0
5,11,8,1,0
5,14,15,0,1
5,16,6,4,0
5,19,5,2,5
5,13,10,3,2
5,2,7,3,1
5,17,0,2,2
5,1,18,0,0
6,15,2,1,3
6,8,16,2,1
6,4,13,2,0
6,7,14,0,2
6,10,17,8,0
6,12,3,0,0
6,6,19,1,1
6,18,11,2,0
6,0,1,3,2
6,5,9,1,2
7,14,9,0,1
7,2,18,2,2
7,1,4,2,2
7,5,3,2,0
7,6,13,2,0
7,16,15,2,1
7,19,17,2,0
7,7,10,1,3
7,8,12,5,0
7,11,0,1,1
8,3,16,3,0
8,4,7,1,0
8,9,8,2,1
8,13,1,1,5
8,17,14,0,0
8,18,6,1,2
8,0,2,1,0
8,10,19,0,2
8,15,5,1,4
8,12,11,1,0
9,7,18,2,0
9,2,13,0,0
9,1,3,2,1
9,5,12,1,0
9,8,4,2,1
9,16,17,1,1
9,19,15,1,1
9,6,10,0,2
9,11,9,1,1
9,14,0,1,0
10,15,8,0,9
10,10,1,3,0
10,3,7,3,2
10,17,2,0,0
10,18,14,1,1
10,4,5,2,4
10,12,19,1,1
10,0,6,2,2
10,9,16,2,1
10,13,11,1,3
11,2,11,1,0
11,0,19,1,1
11,1,9,1,2
11,3,13,2,0
11,10,15,2,1
11,14,4,3,0
11,18,12,2,3
11,17,5,1,2
11,6,8,0,2
11,7,16,1,1
12,13,17,0,2
12,5,6,2,0
12,4,18,3,0
12,12,2,2,1
12,15,7,1,2
12,16,14,1,1
12,8,0,2,0
12,11,3,3,1
12,19,1,2,1
12,9,10,3,1
13,18,16,2,3
13,2,19,1,2
13,0,15,2,2
13,3,8,0,2
13,6,9,1,2
13,7,13,0,2
13,17,4,0,3
13,10,5,2,1
13,14,11,3,3
13,1,12,2,0
14,12,10,2,2
14,4,6,0,2
14,5,18,0,1
14,9,3,2,1
14,16,2,3,2
14,15,17,2,1
14,13,0,2,2
14,19,14,1,1
14,8,7,2,1
14,11,1,2,2
15,6,2,1,0
15,4,10,1,4
15,8,17,2,0
15,19,18,2,0
15,5,1,2,1
15,15,13,2,1
15,11,16,2,1
15,9,7,5,2
15,14,12,0,2
15,0,3,1,2
16,7,5,3,1
16,2,9,0,3
16,16,4,5,0
16,17,6,0,0
16,10,11,1,2
16,1,8,1,4
16,12,15,2,1
16,13,14,1,2
16,3,19,2,2
16,18,0,1,3
17,9,17,2,0
17,4,12,1,0
17,5,2,0,1
17,8,13,1,1
17,14,1,2,0
17,15,18,0,1
17,11,7,1,1
17,19,16,1,2
17,0,10,0,3
17,6,3,1,1
18,7,0,0,0
18,2,4,0,1
18,1,15,1,3
18,3,14,0,1
18,12,6,1,0
18,13,19,1,2
18,10,8,3,1
18,17,11,2,0
18,16,5,0,2
18,18,9,0,2
19,16,3,2,1
19,2,0,1,1
19,1,13,1,0
19,5,15,0,2
19,6,18,2,1
19,7,4,1,0
19,14,17,1,1
19,11,12,4,1
19,8,9,0,4
19,19,10,3,2
20,3,2,2,0
20,12,7,1,2
20,15,6,1,1
20,17,1,3,0
20,13,16,2,2
20,18,8,1,2
20,4,11,0,2
20,0,5,1,2
20,9,19,1,0
20,10,14,2,0
21,3,5,1,1
21,4,1,1,2
21,12,8,0,3
21,15,16,1,0
21,17,19,2,1
21,10,7,2,1
21,13,6,1,1
21,18,2,4,0
21,0,11,2,0
21,9,14,2,0
22,14,18,1,0
22,6,0,1,1
22,5,4,3,0
22,7,3,1,0
22,8,15,1,2
22,11,13,4,0
22,19,12,1,1
22,16,9,0,1
22,2,17,0,3
22,1,10,1,6
23,17,16,0,0
23,0,14,1,1
